rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.49,553,0.9448479999999999,74,30900,1.34,41364,,,
0.39,554,0.9446693333333334,74,31000,1.34,41498,,,
0.35,556,0.944496,74,31100,1.3,41628,,,
0.43,558,0.9443106666666667,74,31200,1.39,41767,,,
0.56,560,0.9441293333333334,74,31300,1.36,41903,,,
0.41,562,0.9439533333333334,74,31400,1.32,42035,,,
0.67,564,0.9437599999999999,74,31500,1.45,42180,,,
0.42,566,0.9435786666666666,74,31600,1.36,42316,,,
0.39,567,0.9434013333333333,74,31700,1.33,42449,,,
0.49,569,0.94322,74,31800,1.36,42585,,,
0.44,571,0.9430453333333333,74,31900,1.31,42716,,,
0.34,573,0.9428733333333332,74,32000,1.29,42845,,,
0.51,575,0.9426906666666666,74,32100,1.37,42982,,,
0.34,577,0.9425173333333334,74,32200,1.3,43112,,,
0.61,578,0.942328,74,32300,1.42,43254,,,
0.42,579,0.9421520000000001,74,32400,1.32,43386,,,
0.5,581,0.9419679999999999,74,32500,1.38,43524,,,
0.49,583,0.941784,74,32600,1.38,43662,,,
0.62,585,0.941592,74,32700,1.44,43806,,,
0.47,587,0.941416,74,32800,1.32,43938,,,
0.31,588,0.9412493333333334,74,32900,1.25,44063,,,
0.67,590,0.9410666666666667,74,33000,1.37,44200,,,
0.45,592,0.940896,74,33100,1.28,44328,,,
0.4,594,0.9407186666666667,74,33200,1.33,44461,,,
0.25,596,0.940556,74,33300,1.22,44583,,,
0.62,598,0.940364,74,33400,1.44,44727,,,
0.49,600,0.9401853333333334,74,33500,1.34,44861,,,
0.38,601,0.9400093333333333,74,33600,1.32,44993,,,
0.38,603,0.9398373333333334,74,33700,1.29,45122,,,
0.47,605,0.9396533333333332,74,33800,1.38,45260,,,
0.5,607,0.9394693333333333,74,33900,1.38,45398,,,
0.3,609,0.9393039999999999,74,34000,1.24,45522,,,
0.35,610,0.939136,74,34100,1.26,45648,,,
0.48,612,0.938952,74,34200,1.38,45786,,,
0.47,614,0.9387706666666666,74,34300,1.36,45922,,,
0.4,616,0.9385973333333333,74,34400,1.3,46052,,,
0.36,618,0.9384266666666667,74,34500,1.28,46180,,,
0.36,620,0.938256,74,34600,1.28,46308,,,
0.35,622,0.9380826666666666,74,34700,1.3,46438,,,
0.42,623,0.9379026666666668,74,34800,1.35,46573,,,
0.77,625,0.937708,74,34900,1.46,46719,,,
0.32,627,0.9375359999999999,74,35000,1.29,46848,,,
0.4,629,0.9373613333333333,74,35100,1.31,46979,,,
0.67,631,0.9371640000000001,74,35200,1.48,47127,,,
0.56,633,0.9369746666666667,74,35300,1.42,47269,,,
